Překladač,Hloubka,Čas [s]
gcc -O0,2,0.0007610321044921875
gcc -O0,3,0.0008355617523193359
gcc -O0,4,0.0007567405700683594
gcc -O0,5,0.0007319450378417969
gcc -O0,6,0.0007480144500732422
gcc -O0,7,0.0007073402404785157
gcc -O0,8,0.0007277965545654297
gcc -O0,9,0.0007353782653808594
gcc -O0,10,0.0008467674255371094
gcc -O0,11,0.0008800983428955078
gcc -O0,12,0.000934600830078125
gcc -O0,13,0.0011333465576171876
gcc -O0,14,0.0014269351959228516
gcc -O0,15,0.0022903919219970704
gcc -O0,16,0.0031225204467773436
gcc -O0,17,0.005589342117309571
gcc -O2,2,0.0007844924926757813
gcc -O2,3,0.0007583141326904297
gcc -O2,4,0.0007678985595703125
gcc -O2,5,0.000753021240234375
gcc -O2,6,0.0008191585540771485
gcc -O2,7,0.0007466793060302735
gcc -O2,8,0.0007529258728027344
gcc -O2,9,0.0008135795593261719
gcc -O2,10,0.0007814407348632812
gcc -O2,11,0.0008194923400878906
gcc -O2,12,0.000937509536743164
gcc -O2,13,0.000991487503051758
gcc -O2,14,0.0011476516723632813
gcc -O2,15,0.001437807083129883
gcc -O2,16,0.0022486209869384765
gcc -O2,17,0.0035054683685302734
scc x86_64,2,0.03417353630065918
scc x86_64,3,0.03458251953125
scc x86_64,4,0.04072122573852539
scc x86_64,5,0.03962421417236328
scc x86_64,6,0.0458071231842041
scc x86_64,7,0.05753059387207031
scc x86_64,8,0.08131341934204102
scc x86_64,9,0.12881851196289062
scc x86_64,10,0.2215832233428955
scc x86_64,11,0.4161128044128418
scc x86_64,12,0.804029130935669
scc x86_64,13,1.5615163803100587
scc x86_64,14,3.090620756149292
scc x86_64,15,6.26045446395874
scc x86_64,16,12.806057548522949
scc x86_64,17,25.424614715576173
scc WASM přes Node.js,2,0.27263636589050294
scc WASM přes Node.js,3,0.2684156894683838
scc WASM přes Node.js,4,0.26904983520507814
scc WASM přes Node.js,5,0.26736998558044434
scc WASM přes Node.js,6,0.2778949737548828
scc WASM přes Node.js,7,0.27311367988586427
scc WASM přes Node.js,8,0.28063087463378905
scc WASM přes Node.js,9,0.3101842403411865
scc WASM přes Node.js,10,0.5080407142639161
scc WASM přes Node.js,11,0.9032341003417969
scc WASM přes Node.js,12,1.6803319931030274
scc WASM přes Node.js,13,3.339421272277832
scc WASM přes Node.js,14,6.3171061992645265
scc WASM přes Node.js,15,12.5198495388031
